Tahun,Pesawat Berangkat,Pesawat Datang,Penumpang Berangkat,Penumpang Datang,Transit
2003,352028,340467,19285473,21171281,2068460
2004,444346,446651,27852759,29150506,2742690
2005,453177,440520,29817126,24812276,1156249
2006,475728,470956,32687079,33816344,2856287
2007,454041,454267,34864507,33963707,4271062
2008,424118,430961,36144036,36388502,2763811
2009,509305,513132,41691068,42565099,4809422
2010,576200,574423,48872363,50519023,5682813
2011,671953,671377,59275637,59035279,8216516
2012,717435,719030,70682216,69494439,7683843
2013,796788,800193,73594917,77568403,8020644
2014,768658,769762,71625696,73889533,6955759
2015,790779,791783,72563813,75593248,7048233
2016,896489,894104,83349974,87208889,8138360
2017,969580,972863,90744365,95401545,11363232
2018,1005237,1011111,94896041,101260614,10423312
2019,876996,880645,76156367,80108804,6686285
2020,526761,523960,33513741,35164959,3545143
2021,484574,485290,30697923,33995847,4387779
2022,604238,598378,52783838,57030816,5610870
